worksite	h1bcount	population
ALABAMA	1781	4843214
ALASKA	246	736705
ARIZONA	7306	6719993
ARKANSAS	2329	2966912
CALIFORNIA	98512	38680810
COLORADO	5811	5349648
CONNECTICUT	8917	3591873
DELAWARE	3184	934948
DISTRICT OF COLUMBIA	3727	659005
FLORIDA	17644	19888741
GEORGIA	17728	10087231
HAWAII	602	1416349
IDAHO	609	1633532
ILLINOIS	27407	12867544
INDIANA	5509	6595233
IOWA	3168	3108030
KANSAS	2424	2899360
KENTUCKY	2170	4413057
LOUISIANA	1838	4647880
MAINE	714	1330719
MARYLAND	9601	5967295
MASSACHUSETTS	19913	6749911
MICHIGAN	13918	9915767
MINNESOTA	8996	5453109
MISSISSIPPI	678	2992400
MISSOURI	6200	6060930
MONTANA	134	1022867
NEBRASKA	1708	1881145
NEVADA	1231	2833013
NEW HAMPSHIRE	1676	1328743
NEW JERSEY	36783	8925001
NEW MEXICO	908	2083024
NEW YORK	48877	19718515
NORTH CAROLINA	13550	9934399
NORTH DAKOTA	490	739904
OHIO	13515	11594408
OKLAHOMA	1846	3877499
OREGON	4595	3968371
PENNSYLVANIA	19150	12790565
RHODE ISLAND	2225	1054480
SOUTH CAROLINA	2084	4828430
SOUTH DAKOTA	281	852561
TENNESSEE	4584	6544663
TEXAS	51851	26944751
UTAH	2369	2941836
VERMONT	362	626984
VIRGINIA	15475	8317372
WASHINGTON	17917	7054196
WEST VIRGINIA	431	1848514
WISCONSIN	5529	5758377
WYOMING	168	583642
PUERTO RICO	209	3534874
