worksite,h1bcount,employer_name1,count1,employer_name2,count2,employer_name3,count3,employer_name4,count4,employer_name5,count5,population
TEXAS,68463,INFOSYS LIMITED,2780,TECH MAHINDRA (AMERICAS)INC.,1390,TATA CONSULTANCY SERVICES LIMITED,1278,ACCENTURE LLP,1166,WIPRO LIMITED,1051,27862596
CALIFORNIA,119741,INFOSYS LIMITED,4698,GOOGLE INC.,3979,WIPRO LIMITED,1861,APPLE INC.,1519,TATA CONSULTANCY SERVICES LIMITED,1179,39250017
NEW YORK,58670,CAPGEMINI AMERICA INC,1800,ERNST & YOUNG U.S. LLP,1013,INFOSYS LIMITED,896,TATA CONSULTANCY SERVICES LIMITED,711,JPMORGAN CHASE & CO.,672,19745289
NEW JERSEY,48370,IBM INDIA PRIVATE LIMITED,1532,INFOSYS LIMITED,1323,TATA CONSULTANCY SERVICES LIMITED,1219,CAPGEMINI AMERICA INC,1078,ACCENTURE LLP,824,8944469
ILLINOIS,35184,CAPGEMINI AMERICA INC,2863,INFOSYS LIMITED,1590,TATA CONSULTANCY SERVICES LIMITED,938,IBM INDIA PRIVATE LIMITED,806,ACCENTURE LLP,802,12801539
MASSACHUSETTS,24891,WIPRO LIMITED,626,"THE MATHWORKS, INC.",490,CAPGEMINI AMERICA INC,404,COLLABORATE SOLUTIONS INC,380,AVCO CONSULTING INC,367,6811779
GEORGIA,24857,CAPGEMINI AMERICA INC,2097,INFOSYS LIMITED,912,"TECH MAHINDRA (AMERICAS),INC.",707,IBM INDIA PRIVATE LIMITED,627,TATA CONSULTANCY SERVICES LIMITED,594,10310371
PENNSYLVANIA,23380,,,,,,,,,,,12784227
WASHINGTON,23150,MICROSOFT CORPORATION,4294,AMAZON CORPORATE LLC,2244,INFOSYS LIMITED,1570,"HCL AMERICA, INC.",489,DIVENSI INC.,390,7288000
MICHIGAN,20970,HTC GLOBAL SERVICES INC.,607,UNIVERSITY OF MICHIGAN,549,TATA CONSULTANCY SERVICES LIMITED,424,"ENGINEERING TECHNOLOGY ASSOCIATES, INC.",373,CAPGEMINI AMERICA INC,343,9928300
FLORIDA,20850,INFOSYS LIMITED,881,TATA CONSULTANCY SERVICES LIMITED,637,CAPGEMINI AMERICA INC,618,DELOITTE CONSULTING LLP,516,IBM INDIA PRIVATE LIMITED,254,20612439
