,,,,,,,,,,,,,,,,
"Source: USCIS CLAIM3; data as of November 15, 2017. ",,,,,,,,,,,,,,,,
"Note:     Unless noted otherwise, all data are based on petitions received during a fiscal year. ",,,,,,,,,,,,,,,,
"Note:     Petition counts include both cap-subject and cap-exempt, intitial and continuing employment.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions FY 2007 Through 2017: Receipt Volume Overview,,,,,,,,,,,,,,,,
Application and Approvals,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
,,,,,,,,,,,,,,,,
Receipts,"314,621","285,475","246,126","248,272","268,412","308,242","299,690","325,971","368,852","399,349","404,087","3,469,097",,,,
Approvals,"246,035","219,264","183,850","192,276","207,253","240,440","232,978","259,812","307,129","348,162","298,445","2,735,644",,,,
"Note: The number of approvals are for petitions received in a given fiscal year, even where the actual approval date may have occured in a later fiscal year. Revocations may change the number of approvals over time. ",,,,,,,,,,,,,,,,
"Note: FY2017 approval data is as of November 15th, 2017. Approximately 80,000 of the FY2017 petitions are still pending adjudication as of the date of this report. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Country of Birth (Top Twenty),,,,,,,,,,,,,,,,
Country,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
India," 166,575 "," 157,608 "," 122,475 "," 135,931 "," 155,791 "," 197,940 "," 201,114 "," 227,172 "," 269,677 "," 300,902 "," 302,293 "," 2,237,478 ",,,,
"China, People's Republic of"," 26,370 "," 24,434 "," 22,411 "," 21,119 "," 23,227 "," 22,528 "," 23,924 "," 27,733 "," 32,485 "," 35,720 "," 41,475 "," 301,426 ",,,,
Canada," 12,230 "," 10,713 "," 10,407 "," 8,887 "," 9,098 "," 9,400 "," 7,399 "," 6,772 "," 4,147 "," 3,704 "," 4,010 "," 86,767 ",,,,
Philippines," 10,730 "," 10,277 "," 10,704 "," 8,721 "," 7,480 "," 7,204 "," 5,576 "," 4,897 "," 4,298 "," 4,269 "," 3,777 "," 77,933 ",,,,
South Korea," 8,562 "," 7,111 "," 7,871 "," 7,342 "," 6,761 "," 6,688 "," 5,478 "," 5,267 "," 5,050 "," 4,547 "," 4,328 "," 69,005 ",,,,
United Kingdom," 5,394 "," 4,088 "," 4,308 "," 4,325 "," 4,511 "," 4,172 "," 3,520 "," 3,267 "," 2,555 "," 2,287 "," 2,077 "," 40,504 ",,,,
Mexico," 4,259 "," 3,680 "," 3,599 "," 3,260 "," 3,439 "," 3,602 "," 2,985 "," 2,769 "," 2,462 "," 2,315 "," 2,581 "," 34,951 ",,,,
Taiwan," 5,105 "," 4,241 "," 4,270 "," 3,651 "," 3,241 "," 3,130 "," 2,330 "," 1,988 "," 1,697 "," 1,528 "," 2,517 "," 33,698 ",,,,
Japan," 4,259 "," 3,803 "," 3,683 "," 3,012 "," 3,033 "," 2,765 "," 2,381 "," 2,497 "," 2,512 "," 2,401 "," 1,301 "," 31,647 ",,,,
Pakistan," 4,112 "," 3,687 "," 3,035 "," 2,660 "," 2,531 "," 2,292 "," 2,192 "," 2,024 "," 2,048 "," 1,998 "," 1,791 "," 28,370 ",,,,
France," 3,056 "," 2,498 "," 2,495 "," 2,595 "," 2,644 "," 2,557 "," 2,346 "," 2,353 "," 2,111 "," 1,992 "," 1,733 "," 26,380 ",,,,
Turkey," 2,775 "," 2,538 "," 2,724 "," 2,467 "," 2,169 "," 2,066 "," 1,788 "," 1,598 "," 1,512 "," 1,504 "," 1,442 "," 22,583 ",,,,
Germany," 2,913 "," 2,374 "," 2,253 "," 2,225 "," 2,172 "," 2,030 "," 1,755 "," 1,664 "," 1,553 "," 1,481 "," 1,333 "," 21,753 ",,,,
Brazil," 2,415 "," 2,028 "," 2,041 "," 2,023 "," 2,020 "," 1,966 "," 1,658 "," 1,665 "," 1,711 "," 1,709 "," 1,710 "," 20,946 ",,,,
Colombia," 3,168 "," 2,482 "," 2,182 "," 1,875 "," 1,737 "," 1,650 "," 1,319 "," 1,256 "," 1,164 "," 1,006 "," 1,018 "," 18,857 ",,,,
Venezuela," 2,531 "," 1,930 "," 1,952 "," 1,897 "," 1,755 "," 1,676 "," 1,362 "," 1,331 "," 1,230 "," 1,152 "," 1,026 "," 17,842 ",,,,
Nepal," 1,353 "," 1,533 "," 1,437 "," 1,361 "," 1,613 "," 1,922 "," 1,722 "," 1,865 "," 1,894 "," 1,639 "," 1,479 "," 17,818 ",,,,
Russia," 2,446 "," 1,760 "," 1,544 "," 1,434 "," 1,570 "," 1,499 "," 1,318 "," 1,323 "," 1,275 "," 1,154 "," 1,103 "," 16,426 ",,,,
Italy," 1,262 "," 1,159 "," 1,302 "," 1,299 "," 1,398 "," 1,540 "," 1,370 "," 1,339 "," 1,247 "," 1,208 "," 1,086 "," 14,210 ",,,,
Spain," 1,079 ", 974 , 933 ," 1,018 "," 1,233 "," 1,140 "," 1,230 "," 1,201 "," 1,110 "," 1,094 ", 988 ," 12,000 ",,,,
,,,,,,,,,,,,,,,,
All Other," 44,027 "," 36,557 "," 34,500 "," 31,170 "," 30,989 "," 30,475 "," 26,923 "," 25,990 "," 27,114 "," 25,739 "," 25,019 "," 338,503 ",,,,
Note:  Ranking is based on the total petitions received in the 11-year period with known country of birth.,,,,,,,,,,,," 3,469,097 ",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Age Range,,,,,,,,,,,,,,,,
Age of Beneficiary,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Under 25," 25,737 "," 25,935 "," 18,642 "," 14,921 "," 15,084 "," 18,424 "," 16,137 "," 16,075 "," 15,412 "," 16,316 "," 18,044 "," 200,727 ",,,,
25 to 34," 205,353 "," 188,772 "," 162,468 "," 168,686 "," 187,822 "," 220,472 "," 214,291 "," 233,452 "," 262,417 "," 276,597 "," 269,821 "," 2,390,151 ",,,,
35 to 44," 68,281 "," 58,225 "," 53,047 "," 53,314 "," 54,942 "," 58,716 "," 60,084 "," 67,563 "," 81,831 "," 96,955 "," 106,185 "," 759,143 ",,,,
45 to 54," 12,634 "," 10,314 "," 9,865 "," 9,351 "," 8,713 "," 8,760 "," 7,677 "," 7,482 "," 7,804 "," 8,186 "," 8,787 "," 99,573 ",,,,
55 to 64," 2,391 "," 2,000 "," 1,874 "," 1,796 "," 1,637 "," 1,648 "," 1,323 "," 1,218 "," 1,249 "," 1,154 "," 1,107 "," 17,397 ",,,,
Over 65, 225 , 229 , 230 , 204 , 214 , 222 , 178 , 181 , 139 , 141 , 143 ," 2,106 ",,,,
Note: Age is calculated based on the date the petition was received.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Occupation Category,,,,,,,,,,,,,,,,
Occupation Category,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Computer Related," 158,078 "," 144,550 "," 107,525 "," 120,257 "," 134,817 "," 182,695 "," 184,944 "," 210,396 "," 253,003 "," 281,017 "," 280,776 "," 2,058,058 ",,,,
"Architecture, Engineering, and Surveying"," 33,965 "," 30,631 "," 27,349 "," 24,431 "," 29,602 "," 29,038 "," 27,496 "," 29,301 "," 28,902 "," 29,822 "," 32,689 "," 323,226 ",,,,
Occupations in Education," 29,827 "," 29,159 "," 26,330 "," 24,364 "," 22,380 "," 21,057 "," 19,571 "," 18,961 "," 19,351 "," 19,253 "," 17,878 "," 248,131 ",,,,
Occupations in Administrative Specializations," 27,749 "," 23,689 "," 24,041 "," 21,330 "," 22,015 "," 21,636 "," 19,399 "," 20,047 "," 21,140 "," 22,786 "," 24,887 "," 248,719 ",,,,
Medicine and Health," 18,602 "," 18,044 "," 20,304 "," 19,089 "," 17,822 "," 17,386 "," 16,342 "," 15,195 "," 14,957 "," 15,196 "," 14,298 "," 187,235 ",,,,
Managers and Officials," 10,988 "," 8,935 "," 9,357 "," 8,413 "," 7,688 "," 7,103 "," 5,731 "," 5,706 "," 5,116 "," 5,124 "," 5,233 "," 79,394 ",,,,
Occupations in Life Sciences," 7,683 "," 7,072 "," 6,830 "," 6,063 "," 6,050 "," 5,558 "," 5,054 "," 4,887 "," 5,109 "," 5,172 "," 5,190 "," 64,668 ",,,,
Occupations in Mathematics and Physical Sciences," 6,266 "," 5,988 "," 5,993 "," 5,363 "," 5,873 "," 5,451 "," 5,445 "," 5,596 "," 5,983 "," 6,696 "," 8,406 "," 67,060 ",,,,
Occupations in Social Sciences," 6,003 "," 4,942 "," 5,002 "," 4,837 "," 5,024 "," 4,509 "," 4,001 "," 4,284 "," 4,180 "," 3,866 "," 3,899 "," 50,547 ",,,,
Other Occupations Categories," 15,460 "," 12,465 "," 13,395 "," 14,125 "," 17,141 "," 13,809 "," 11,707 "," 11,598 "," 11,111 "," 10,417 "," 10,831 "," 142,059 ",,,,
"Note: Other Occupation Categories include unkown, invalid and missing occupation values.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Trend of H1B Petitions Filed FY 2007 Through 2017: Beneficiary Industry (Top 30),,,,,,,,,,,,,,,,
Industry,,,,,,,,,,,,Total,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,
Custom Computer Programming Services," 83,501 "," 81,325 "," 51,793 "," 58,268 "," 64,046 "," 90,013 "," 90,657 "," 102,934 "," 128,832 "," 140,200 "," 132,631 "," 1,024,200 ",,,,
Computer Systems Design Services," 14,469 "," 13,803 "," 14,029 "," 17,099 "," 20,831 "," 30,665 "," 26,397 "," 32,664 "," 39,384 "," 44,130 "," 41,602 "," 295,073 ",,,,
"Colleges, Universities, and Professional Schools"," 25,770 "," 25,132 "," 23,026 "," 22,365 "," 20,601 "," 19,804 "," 19,178 "," 19,090 "," 19,540 "," 19,634 "," 18,429 "," 232,569 ",,,,
Engineering Services," 8,258 "," 7,207 "," 6,611 "," 5,602 "," 5,842 "," 3,301 "," 3,276 "," 6,615 "," 7,645 "," 8,101 "," 8,405 "," 70,863 ",,,,
Other Computer Related Services," 10,515 "," 7,463 "," 5,708 "," 5,470 "," 5,266 "," 3,949 "," 4,342 "," 4,216 "," 4,534 "," 7,974 "," 8,088 "," 67,525 ",,,,
General Medical and Surgical Hospitals," 5,978 "," 5,804 "," 5,940 "," 6,563 "," 6,335 "," 5,683 "," 5,464 "," 5,613 "," 5,654 "," 5,836 "," 5,606 "," 64,476 ",,,,
Software Publishers," 1,496 "," 1,940 "," 1,909 "," 5,357 "," 6,516 "," 6,376 "," 5,935 "," 7,205 "," 8,194 "," 9,033 "," 9,842 "," 63,803 ",,,,
Elementary and Secondary Schools," 7,008 "," 7,326 "," 6,589 "," 5,816 "," 4,453 "," 2,748 "," 2,539 "," 2,971 "," 3,119 "," 2,794 "," 2,327 "," 47,690 ",,,,
Investment Banking and Securities Dealing," 6,691 "," 5,264 "," 4,542 "," 5,134 "," 4,095 ", 380 , 435 ," 3,527 "," 4,365 "," 4,329 "," 4,784 "," 43,546 ",,,,
Administrative Management and General Management Consulting Services," 2,205 "," 2,111 "," 2,019 "," 1,982 "," 2,666 "," 3,020 "," 2,841 "," 3,355 "," 3,862 "," 4,800 "," 4,712 "," 33,573 ",,,,
Electronic Computer Manufacturing," 2,155 "," 1,877 "," 1,283 "," 1,808 "," 1,859 "," 1,912 "," 2,089 "," 2,886 "," 4,010 "," 4,500 "," 5,057 "," 29,436 ",,,,
Offices of Physicians (except Mental Health Specialists)," 2,316 "," 2,129 "," 2,301 "," 2,412 "," 2,746 "," 2,536 "," 2,592 "," 2,731 "," 2,595 "," 2,767 "," 2,681 "," 27,806 ",,,,
Offices of Certified Public Accountants," 2,219 "," 2,012 "," 2,320 "," 1,727 "," 2,109 "," 2,124 "," 1,873 "," 2,515 "," 2,825 "," 3,569 "," 3,841 "," 27,134 ",,,,
Semiconductor and Related Device Manufacturing," 1,757 "," 1,518 "," 1,752 "," 2,173 "," 2,662 "," 2,396 "," 2,209 "," 2,598 "," 2,401 "," 2,744 "," 2,688 "," 24,898 ",,,,
Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing, 378 , 560 ," 1,295 "," 1,718 "," 1,918 "," 2,090 "," 2,191 "," 2,251 "," 2,100 "," 2,075 "," 1,994 "," 18,570 ",,,,
Commercial Banking," 1,505 "," 1,317 "," 1,133 "," 1,534 "," 1,542 ", 451 , 466 ," 1,397 "," 2,124 "," 2,196 "," 2,617 "," 16,282 ",,,,
"Offices of Physical, Occupational and Speech Therapists, and Audiologists"," 1,173 "," 1,294 "," 1,998 "," 1,828 "," 1,249 ", 652 , 613 ," 1,061 "," 1,263 "," 1,162 "," 1,167 "," 13,460 ",,,,
